"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3908","addtheProxy","Default Suite","Sun May 18 19:43:53 IST 2025","broken","Sun May 18 19:43:57 IST 2025","com.WebAutomationProject.SeleniumBasic.ex_08_useproxy","WebAutomationProject","com.WebAutomationProject.SeleniumBasic.ex_08_useproxy","addtheProxy"
"Verify that the error message should display for invalid email on sign up page","32052","verify_the_errorMeesage","Default Suite","Thu May 22 23:27:24 IST 2025","passed","Thu May 22 23:27:56 IST 2025","ex_12_verify_errorMsg","WebAutomationProject","ex_12_verify_errorMsg","verify_the_errorMeesage"
"","20010","VerifyErrorMessage","Default Suite","Sun May 18 20:14:30 IST 2025","passed","Sun May 18 20:14:50 IST 2025","com.WebAutomationProject.SeleniumBasic.ex_10_miniProject","WebAutomationProject","com.WebAutomationProject.SeleniumBasic.ex_10_miniProject","VerifyErrorMessage"
"","8101","verify_CurrentUrlChange","Default Suite","Sun May 18 20:41:10 IST 2025","passed","Sun May 18 20:41:18 IST 2025","com.WebAutomationProject.SeleniumBasic.ex_11_TaskMarch23","WebAutomationProject","com.WebAutomationProject.SeleniumBasic.ex_11_TaskMarch23","verify_CurrentUrlChange"
"Verify that the error message should display for invalid email on sign up page","9459","verify_the_errorMeesage","Default Suite","Fri May 23 00:00:07 IST 2025","passed","Fri May 23 00:00:16 IST 2025","com.WebAutomationProject.SeleniumBasic.ex_12_verify_errorMsg","WebAutomationProject","com.WebAutomationProject.SeleniumBasic.ex_12_verify_errorMsg","verify_the_errorMeesage"
"","5059","setUp","Default Suite","Sun May 18 18:45:09 IST 2025","passed","Sun May 18 18:45:14 IST 2025","com.WebAutomationProject.SeleniumBasic.ex_05_nevigation_command","WebAutomationProject","com.WebAutomationProject.SeleniumBasic.ex_05_nevigation_command","setUp"
"","4773","verifyHeading","Default Suite","Sun May 18 18:39:15 IST 2025","passed","Sun May 18 18:39:19 IST 2025","com.WebAutomationProject.SeleniumBasic.ex_04","WebAutomationProject","com.WebAutomationProject.SeleniumBasic.ex_04","verifyHeading"
"","6550","startBrowser","Default Suite","Sat May 17 18:48:14 IST 2025","passed","Sat May 17 18:48:21 IST 2025","com.WebAutomationProject.SeleniumBasic.SampleTest_01","WebAutomationProject","com.WebAutomationProject.SeleniumBasic.SampleTest_01","startBrowser"
"","2853","Webdrivermethods","All Test Suite","Sun May 18 18:04:58 IST 2025","passed","Sun May 18 18:05:01 IST 2025","com.WebAutomationProject.SeleniumBasic.ex_02","C:/Users/Sanket/IdeaProjects/WebAutomationProject/src/test/java/com/WebAutomationProject/SeleniumBasic/ex_02.java","com.WebAutomationProject.SeleniumBasic.ex_02","Webdrivermethods"
"","6897","startBrowser","All Test Suite","Sat May 17 18:01:04 IST 2025","passed","Sat May 17 18:01:11 IST 2025","com.WebAutomationProject.SeleniumBasic.SampleTest","C:/Users/Sanket/IdeaProjects/WebAutomationProject/src/test/java/com/WebAutomationProject/SeleniumBasic/SampleTest.java","com.WebAutomationProject.SeleniumBasic.SampleTest","startBrowser"
"","3682","setUp","Default Suite","Sun May 18 18:30:42 IST 2025","passed","Sun May 18 18:30:45 IST 2025","com.WebAutomationProject.SeleniumBasic.ex_03","WebAutomationProject","com.WebAutomationProject.SeleniumBasic.ex_03","setUp"
"","5466","setUp","Default Suite","Sun May 18 18:57:59 IST 2025","passed","Sun May 18 18:58:05 IST 2025","com.WebAutomationProject.SeleniumBasic.ex_06_closeVsQuite","WebAutomationProject","com.WebAutomationProject.SeleniumBasic.ex_06_closeVsQuite","setUp"
